11:36:24:323  iVend process found, sending shuting down command
11:37:13:443  iVend process found, sending shuting down command
11:50:38:185  iVend process found, sending shuting down command
11:50:38:468  iVend process found, sending shuting down command
11:50:38:656  iVend process found, sending shuting down command
11:50:38:846  iVend process found, sending shuting down command
11:50:39:031  iVend process found, sending shuting down command
11:50:39:195  iVend process found, sending shuting down command
11:50:39:370  iVend process found, sending shuting down command
11:50:39:541  iVend process found, sending shuting down command
11:57:04:252  iVend process found, sending shuting down command
11:57:04:465  iVend process found, sending shuting down command
